email,box_name,start_date,payment_date,payment_method,amount
user0@example.com,Beauty_Box_8,2024-12-07,2024-12-07,card,18.08
user0@example.com,Beauty_Box_8,2024-12-07,2025-01-06,card,12.77
user0@example.com,Fitness_Box_3,2025-01-16,2025-01-16,paypal,12.71
user0@example.com,Fitness_Box_3,2025-01-16,2025-02-15,paypal,28.11
user1@example.com,Beauty_Box_1,2024-06-21,2024-06-21,paypal,43.29
user2@example.com,Beauty_Box_2,2024-11-19,2024-11-19,card,24.61
user2@example.com,Beauty_Box_2,2024-11-19,2024-12-19,paypal,26.66
user2@example.com,Fitness_Box_0,2024-11-28,2024-11-28,paypal,48.52
user2@example.com,Fitness_Box_0,2024-11-28,2024-12-28,paypal,19.94
user2@example.com,Beauty_Box_1,2024-07-29,2024-07-29,card,25.98
user3@example.com,Beauty_Box_5,2024-12-27,2024-12-27,paypal,20.18
user3@example.com,Beauty_Box_5,2024-12-27,2025-01-26,paypal,45.5
user3@example.com,Books_Box_9,2025-02-18,2025-02-18,card,44.82
user3@example.com,Books_Box_9,2025-02-18,2025-03-20,card,37.04
user3@example.com,Beauty_Box_2,2024-06-13,2024-06-13,paypal,47.61
user3@example.com,Beauty_Box_2,2024-06-13,2024-07-13,paypal,11.27
user3@example.com,Beauty_Box_2,2024-06-13,2024-08-12,card,14.54
user4@example.com,Books_Box_9,2024-10-24,2024-10-24,paypal,18.51
user4@example.com,Books_Box_6,2025-03-02,2025-03-02,paypal,10.31
user4@example.com,Books_Box_6,2025-03-02,2025-04-01,card,34.31
user4@example.com,Beauty_Box_7,2025-02-08,2025-02-08,card,20.31
user4@example.com,Beauty_Box_7,2025-02-08,2025-03-10,card,23.66
user4@example.com,Beauty_Box_7,2025-02-08,2025-04-09,paypal,39.37
user5@example.com,Beauty_Box_2,2024-12-04,2024-12-04,paypal,39.34
user5@example.com,Beauty_Box_2,2024-12-04,2025-01-03,paypal,18.95
user6@example.com,Beauty_Box_8,2024-06-20,2024-06-20,card,27.23
user7@example.com,Fitness_Box_3,2024-06-26,2024-06-26,card,32.91
user7@example.com,Books_Box_6,2025-04-19,2025-04-19,paypal,30.9
user7@example.com,Books_Box_6,2025-04-19,2025-05-19,paypal,21.85
user7@example.com,Books_Box_6,2025-04-19,2025-06-18,paypal,35.03
user7@example.com,Beauty_Box_7,2025-04-28,2025-04-28,card,13.99
user7@example.com,Beauty_Box_7,2025-04-28,2025-05-28,paypal,35.54
user8@example.com,Books_Box_9,2025-01-28,2025-01-28,paypal,25.74
user8@example.com,Beauty_Box_1,2025-01-04,2025-01-04,card,38.93
user8@example.com,Beauty_Box_1,2025-01-04,2025-02-03,paypal,12.72
user8@example.com,Beauty_Box_1,2025-01-04,2025-03-05,paypal,45.65
user9@example.com,Beauty_Box_2,2025-02-27,2025-02-27,card,23.97
user9@example.com,Beauty_Box_2,2025-02-27,2025-03-29,card,25.96
user10@example.com,Beauty_Box_8,2024-07-29,2024-07-29,paypal,18.27
user10@example.com,Beauty_Box_7,2024-08-04,2024-08-04,card,34.41
user11@example.com,Books_Box_9,2024-09-25,2024-09-25,card,33.53
user11@example.com,Books_Box_9,2024-09-25,2024-10-25,paypal,37.13
user11@example.com,Fitness_Box_0,2025-03-18,2025-03-18,card,34.98
user11@example.com,Fitness_Box_0,2025-03-18,2025-04-17,card,30.6
user11@example.com,Fitness_Box_0,2025-03-18,2025-05-17,card,10.59
user12@example.com,Beauty_Box_8,2025-05-27,2025-05-27,card,13.59
user12@example.com,Beauty_Box_8,2025-05-27,2025-06-26,paypal,34.31
user12@example.com,Fitness_Box_3,2025-01-16,2025-01-16,paypal,30.52
user12@example.com,Fitness_Box_3,2025-01-16,2025-02-15,paypal,43.97
user12@example.com,Beauty_Box_2,2024-11-03,2024-11-03,paypal,13.97
user12@example.com,Beauty_Box_2,2024-11-03,2024-12-03,card,37.16
user12@example.com,Beauty_Box_2,2024-11-03,2025-01-02,paypal,41.36
user13@example.com,Books_Box_9,2025-05-19,2025-05-19,card,29.7
user13@example.com,Books_Box_6,2024-12-30,2024-12-30,card,44.83
user13@example.com,Books_Box_6,2024-12-30,2025-01-29,card,42.97
user13@example.com,Books_Box_6,2024-12-30,2025-02-28,paypal,33.84
user13@example.com,Fitness_Box_0,2025-05-31,2025-05-31,card,42.35
user13@example.com,Fitness_Box_0,2025-05-31,2025-06-30,card,24.08
user13@example.com,Fitness_Box_0,2025-05-31,2025-07-30,paypal,32.22
user14@example.com,Beauty_Box_5,2024-09-22,2024-09-22,card,35.82
user15@example.com,Beauty_Box_2,2025-02-01,2025-02-01,paypal,20.96
user15@example.com,Beauty_Box_8,2024-12-16,2024-12-16,card,29.89
user15@example.com,Beauty_Box_8,2024-12-16,2025-01-15,paypal,21.41
user16@example.com,Beauty_Box_1,2024-06-26,2024-06-26,paypal,37.46
user16@example.com,Books_Box_4,2024-08-07,2024-08-07,card,22.73
user16@example.com,Books_Box_4,2024-08-07,2024-09-06,card,20.01
user16@example.com,Books_Box_4,2024-08-07,2024-10-06,card,49.55
user16@example.com,Beauty_Box_7,2024-07-08,2024-07-08,paypal,34.18
user16@example.com,Beauty_Box_7,2024-07-08,2024-08-07,card,33.07
user17@example.com,Books_Box_9,2025-02-17,2025-02-17,card,12.42
