email,box_name,review_date,rating,comment
user3@example.com,Beauty_Box_2,2024-07-13,4,Fund record home out third be generation general win.
user4@example.com,Books_Box_9,2024-11-23,2,Major evidence during benefit positive PM exist training.
user4@example.com,Books_Box_6,2025-04-01,2,These student data develop attack almost shoulder.
user5@example.com,Beauty_Box_2,2025-02-02,5,Often operation gun thank pull near one church.
user7@example.com,Fitness_Box_3,2024-09-24,3,Eye training nearly ability coach home kind see.
user8@example.com,Books_Box_9,2025-07-27,3,Blue everybody expert interesting send already window.
user8@example.com,Beauty_Box_1,2025-07-03,1,Message shake think rule organization to article rate according.
user9@example.com,Beauty_Box_2,2025-03-29,4,Animal data claim late break within.
user10@example.com,Beauty_Box_8,2024-09-27,2,Sign learn window smile discover person.
user11@example.com,Fitness_Box_0,2025-09-14,5,Difficult politics understand news artist weight beyond bar.
user13@example.com,Fitness_Box_0,2025-11-27,3,Important research day behavior at again decide.
user14@example.com,Beauty_Box_5,2024-10-22,5,Parent market service foot better southern choose social not open point break put.
user15@example.com,Beauty_Box_2,2025-05-02,2,Civil exist case level society production quickly dream article price air shoulder.
user15@example.com,Beauty_Box_8,2025-02-14,1,Also staff protect for sister really big bill establish.
user17@example.com,Books_Box_9,2025-03-19,2,Keep can anything career end indicate other want energy reality case these such.
user17@example.com,Books_Box_6,2025-07-18,3,Tell senior around off a information deep claim easy stay.
user19@example.com,Beauty_Box_2,2024-12-07,5,Interview available yourself large seem generation picture least wonder here act.
user19@example.com,Beauty_Box_8,2024-12-10,1,End seem another adult sure ready voice kitchen read network order allow.
